Date,Event Title
2001-09-03,"The Troubles: Ulster loyalists resumed a picket outside a Catholic girls' primary school in the Protestant portion of Ardoyne, in Belfast, Northern Ireland."
2001-09-09,"Two al-Qaeda attackers assassinate Ahmad Shah Massoud, a pivotal Afghan resistance leader, two days before the September 11th attacks in the United States."
2001-09-11,"al-Qaeda hijacked four passenger airliners to carry out a series of terrorist attacks (one pictured) against targets in New York City and the area of Washington, D.C., killing 2,977 people."
2001-09-18,Five letters containing anthrax spores were mailed to various media outlets in the United States.
2001-09-21,"Several British Muslim youths in Peterborough, England, murdered 17-year-old Ross Parker, leading to debate over whether the British media failed to cover racially motivated crimes with white victims."
2001-10-08,"At Linate Airport in Milan, Italy, Scandinavian Airlines Flight SK686 collided on take-off with a Cessna Citation II business jet, killing 118 people."
2001-10-17,"Rehavam Ze'evi, the Israeli minister of tourism, was assassinated in revenge for the killing of PFLP leader Abu Ali Mustafa."
2001-10-23,"Grand Theft Auto III was released, helping to popularize open-world and mature-content video games."
2001-10-25,"Windows XP, one of the most popular and widely used versions of the Microsoft Windows operating system, was released for retail sale."
2001-10-26,"President George W. Bush signed the Patriot Act into law (pictured), significantly expanding the authority of United States law enforcement agencies."
2001-11-12,"American Airlines Flight 587 crashed into residential buildings five minutes after takeoff from John F. Kennedy International Airport in New York, killing a total of 265 people."
2001-11-27,"Astronomers announced the detection of sodium in the atmosphere of the extrasolar planet HD 209458 b (artist's impression pictured), the first exoplanet atmosphere to be measured."
2001-12-02,"Less than two months after disclosing accounting violations, the Texas-based energy firm Enron filed for Chapter 11 bankruptcy, evaporating nearly $11 billion in shareholder wealth."
2001-12-22,Burhanuddin Rabbani of the Northern Alliance handed over power in Afghanistan to the interim government headed by Hamid Karzai.
2001-12-22,Richard Reid unsuccessfully attempted to detonate a bomb in his shoe on a transatlantic flight from Paris to Miami.
2002-01-03,"Israeli forces seized MV Karine A, which was carrying 50 tonnes of smuggled weapons on behalf of the Palestinian National Authority."
2002-01-17,"Mount Nyiragongo, a volcano in the Democratic Republic of the Congo, began an eruption that killed hundreds and left about 120,000 people homeless in the nearby town of Goma."
2002-01-23,"American journalist Daniel Pearl was kidnapped and later murdered by al-Qaeda agents in Karachi, Pakistan."
2002-02-27,"Violent riots, perceived to have been instigated by a train fire that killed 59 Hindu pilgrims, broke out in the Indian state of Gujarat, killing at least 1,000 people, mostly Muslims, over three days."
2002-02-28,"During a period of religious violence in Gujarat, India, mobs of Hindus attacked Muslims in Naroda Patiya and in Chamanpura, resulting in 166 deaths."
2002-03-27,"Second Intifada: A suicide bomber killed around 30 Israeli civilians and injured about 140 others in Netanya, triggering Operation Defensive Shield, a large-scale counter-terrorist military incursion into the West Bank."
2002-04-02,"Second Intifada: Palestinian militants sought refuge from advancing Israeli forces in the Church of the Nativity in Bethlehem, beginning a month-long siege."
2002-04-05,"In the first reported data breach, 250,000 social security numbers collected by the State of California were stolen from a data center."
2002-04-11,"In a coup attempt, members of the Venezuelan military detained President Hugo Chávez and demanded his resignation."
2002-05-22,"Police announced that the skeletal remains of Federal Bureau of Prisons intern Chandra Levy, who had been missing for a year, had been found in Rock Creek Park in Washington, D.C."
2002-05-26,"Barges being towed destroyed part of a bridge (aftermath pictured) near Webbers Falls, Oklahoma, causing vehicles to fall into the Robert S. Kerr Reservoir on the Arkansas River."
2002-05-28,An independent commission appointed by the Football Association voted two-to-one to allow Wimbledon F.C. to relocate from London to Milton Keynes.
2002-06-22,"A magnitude-6.5 earthquake struck northwestern Iran, killing at least 230 people and injuring 1,300 others; the official response, perceived to be slow, later caused widespread public anger."
2002-07-01,"Bashkirian Airlines Flight 2937 and DHL Flight 611 collided in mid-air over Überlingen, Germany, killing all 71 people aboard both aircraft."
2002-07-22,"The Israel Defense Forces bombed the home of Salah Shehade, the leader of the military arm of the Palestinian organization Hamas, killing him, his family and neighboring civilians."
2002-08-19,"Second Chechen War: A Russian Mil Mi-26 was brought down by Chechen separatists with a man-portable air-defense system near Khankala, killing 127 people in the deadliest helicopter crash in history."
2002-10-06,"Al-Qaeda bombed the oil tanker Limburg, causing oil to leak into the Gulf of Aden."
2002-10-11,"A bomb exploded in the Myyrmanni shopping center in Helsinki, Finland (aftermath pictured), resulting in 7 deaths and 159 injuries."
2002-10-30,"Warren Zevon made his last public appearance on the Late Show with David Letterman, giving the advice to ""enjoy every sandwich""."
2002-11-16,"The first case of SARS (pictured), a zoonotic respiratory coronavirus disease, was recorded in Guangdong, China."
2002-11-19,The Greek oil tanker Prestige split in two and sank off the coast of Galicia after spilling 420 thousand barrels (17.8 million US gallons) of oil in the worst environmental disaster in Spanish and Portuguese history.
2002-12-27,"The human-cloning company Clonaid claimed to have performed the first reproductive cloning of a human, but provided no evidence for the claim."
2003-01-05,"The Metropolitan Police arrested six people in conjunction with an alleged terrorist plot to release ricin on the London Underground, although no toxin was found."
2003-01-11,"After Chicago police detective Jon Burge was discovered to have forced confessions from more than 200 suspects, the governor of Illinois commuted the death sentences of 167 prisoners and pardoned four others."
2003-01-27,The first selections for the United States National Recording Registry were announced by the Library of Congress.
2003-02-01,All seven crew members aboard Space Shuttle Columbia were killed when the orbiter disintegrated over Texas during reentry.
2003-02-12,Protesters in La Paz and the Bolivian government brokered a deal to end two days of rioting against a proposed salary tax.
2003-02-15,"In one of the largest anti-war rallies in history, millions around the world in approximately 800 cities took part in protests against the impending invasion of Iraq."
2003-03-16,American peace activist Rachel Corrie was crushed to death by an Israel Defense Forces armored bulldozer in Rafah while protesting the demolition of a Palestinian house.
2003-04-09,Invasion of Iraq: Coalition forces captured Baghdad and the statue of Saddam Hussein in Firdos Square was toppled.
2003-05-02,"Cyclone Manou formed in the Indian Ocean; over the next two weeks it struck Madagascar and left more than 100,000 people homeless."
2003-06-26,The U.S. Supreme Court struck down sodomy laws in the country in the landmark decision Lawrence v. Texas.
2003-06-29,"An overloaded balcony collapsed in Chicago, United States, killing 13 people and injuring 57 others."
2003-07-08,"Sudan Airways Flight 139 crashed near Port Sudan Airport during an emergency landing attempt, killing 116 of the 117 people on board."
2003-07-13,"French Directorate-General for External Security personnel aborted an operation to rescue Colombian politician Íngrid Betancourt from FARC guerrillas, resulting in a political scandal."
2003-07-14,Valerie Plame's identity as a CIA operative was leaked to and published by journalist Robert Novak.
2003-08-19,"A Hamas suicide bomber killed 23 people and wounded more than 130 others, including many Orthodox Jewish children, on a crowded public bus in Shmuel HaNavi, Jerusalem."
2003-08-28,"A pizza delivery man in Erie, Pennsylvania, was killed during a complex bank robbery when a bomb that was locked around his neck exploded."
2003-09-12,"Typhoon Maemi, the strongest recorded typhoon to strike South Korea, made landfall near Busan."
2003-09-12,"The first public release of Steam, a distribution service for computer games, was made available for download."
2003-09-14,President Kumba Ialá of Guinea-Bissau was deposed in a bloodless military coup.
2003-09-22,"Dolphin, the first emulator for the GameCube that could run commercial video games, was released."
2003-10-01,"A levy was imposed on the hiring of foreign domestic helpers in Hong Kong, who numbered in the hundreds of thousands at the time."
2003-10-03,Roy Horn of the American entertainment duo Siegfried & Roy was mauled by a tiger during a performance at the Mirage on the Las Vegas Strip.
2003-10-04,"A suicide bomber killed 21 people, including a two-month-old baby, and injured 60 others inside a restaurant in Haifa, Israel."
2003-10-24,"The inaugural Afro-Asian Games opened in Hyderabad, with 2,040 athletes from 96 nations competing."
2003-11-05,American serial killer Gary Ridgway pleaded guilty to 48 counts of first-degree murder.
2003-11-14,"Astronomers Michael E. Brown, Chad Trujillo, and David L. Rabinowitz discovered the trans-Neptunian object Sedna (artist's impression pictured)."
2003-11-18,"With its ruling in Goodridge v. Department of Public Health, the Massachusetts Supreme Judicial Court made the state the first in the U.S. to legalize same-sex marriage."
2003-11-20,"Suicide bombers blew up the British consulate and the headquarters of HSBC Bank in Istanbul, killing 31 people, including consul general Roger Short and actor Kerem Yılmazer."
2003-11-23,Rose Revolution: Eduard Shevardnadze resigned as President of Georgia following weeks of mass protests over disputed election results.
2004-01-02,"The Stardust space probe flew by the comet Wild 2 and collected particle samples from its coma, which were later returned to Earth."
2004-01-04,"Spirit (artist's impression depicted), the first of two rovers of NASA's Mars Exploration Rover mission, successfully landed on Mars."
2004-01-25,"Mars Exploration Rover Opportunity landed on Mars and rolled into Eagle crater, a small crater on the Meridiani Planum."
2004-02-02,"Swiss tennis player Roger Federer became the top-ranked men's singles player, a position he held for a record 237 consecutive weeks."
2004-02-05,"The National Revolutionary Front for the Liberation of Haiti captured the city of Gonaïves, starting a coup d'état against President Jean-Bertrand Aristide's government."
2004-02-05,"At least 21 cockle-gatherers were drowned by an incoming tide in Morecambe Bay, England, prompting the establishment of the British government's Gangmasters Licensing Authority."
2004-02-29,Haitian president Jean-Bertrand Aristide was overthrown following popular rebel uprising.
2004-03-13,"The Filipino singer Rachelle Ann Go won the reality talent show Search for a Star, performing a cover of Mariah Carey's ""Through the Rain"" in the grand final."
2004-03-17,"Unrest in Kosovo broke out, resulting in the deaths of 28, the wounding of more than 600 others, and the destruction of several Serb Orthodox churches and shrines."
2004-03-22,"Palestinian imam Sheikh Ahmed Yassin, a founder and the spiritual leader of Hamas, was killed by an Israeli missile as he left early morning prayers."
2004-04-06,Lithuanian president Rolandas Paksas became the first European head of state to be removed from office by impeachment.
2004-04-20,An incomplete tunnel leading to Singapore's Nicoll Highway MRT station collapsed that led to four deaths and the station's relocation.
2004-04-22,"Flammable cargo exploded at a railway station in Ryongchon, North Korea, killing at least 54 people and injuring more than a thousand others."
2004-04-30,The New Yorker published an online article and photographs detailing accounts of torture and abuse by American military personnel of Iraqi prisoners held at Abu Ghraib prison in Baghdad.
2004-05-06,The final episode of the television sitcom Friends was aired.
2004-05-15,Arsenal became the first football team in England's top flight to finish a season undefeated since Preston North End did so in 1888–1889.
2004-05-17,Massachusetts became the first U.S. state to legalize same-sex marriage.
2004-06-04,"In Granby, Colorado, U.S., Marvin Heemeyer went on a rampage with a modified bulldozer over a zoning dispute, destroying several buildings before committing suicide."
2004-06-05,"Noël Mamère, the mayor of Bègles, conducted a marriage ceremony for two men, even though same-sex marriage in France had not yet been legalised."
2004-07-05,"Indonesia held its first direct presidential elections, which resulted in the election of Susilo Bambang Yudhoyono as President of Indonesia after the second round on September 20."
2004-07-16,"Millennium Park, a public park in Chicago, Illinois, and one of the world's largest rooftop gardens, opened to the public."
2004-08-01,"Nearly 400 people died in a supermarket fire in Asunción, Paraguay, when exits were locked to prevent people from stealing merchandise."
2004-08-13,"Merely 22 hours after Tropical Storm Bonnie struck the U.S. state of Florida, Hurricane Charley inflicted further damage to the region (example pictured)."
2004-09-07,Hurricane Ivan made landfall on Grenada and devastated at least 85 percent of buildings on the island.
2004-09-29,Archaeologists and volunteers began excavation of the remains of Fort Tanjong Katong in Singapore.
2004-10-10,Eight-year-old Huang Na was abducted and murdered; her body was found three weeks later after a search across Singapore and Malaysia.
2004-10-24,"English football club Manchester United defeated Arsenal 2–0 in the Battle of the Buffet, ending their rival's record-breaking unbeaten run."
2004-10-27,"The Boston Red Sox completed a sweep of the St. Louis Cardinals to win the 2004 World Series, breaking the so-called ""Curse of the Bambino""."
2004-11-06,"A man committing suicide parked his car on the railway tracks in Ufton Nervet, Berkshire, England, causing a derailment that killed seven people."
2005-01-05,The dwarf planet Eris was discovered by a team using images from the Samuel Oschin telescope at Palomar Observatory.
2005-02-07,"President Ilham Aliyev issued a decree on the redenomination of Azerbaijan's currency, with 1 new manat equal to 5000 old manats."
2005-02-14,The video-sharing web site YouTube was founded by three former PayPal employees.
2005-02-16,"The Kyoto Protocol, an extension to the United Nations Framework Convention on Climate Change, entered into force."
2005-03-18,"As per a court order, the feeding tube of Terri Schiavo, an American woman who suffered brain damage, was removed at the request of her husband, fueling a worldwide debate on euthanasia."
2005-03-23,A fire and explosion at the third-largest oil refinery in the United States killed 15 workers and kicked off process safety programs throughout the world.
2005-04-06,Kurdish leader Jalal Talabani (pictured) was elected by the National Assembly as the first non-Arab president of Iraq.
2005-04-09,"Charles, Prince of Wales, married Camilla Parker Bowles in a civil ceremony at the Windsor Guildhall."
2005-04-27,"The Airbus A380, the world's largest passenger airliner, made its maiden flight from Toulouse, France."
2005-05-09,"Pope Benedict XVI began the beatification process for his predecessor Pope John Paul II, waiving the standard five years required after the nominee's death."
2005-05-10,"Vladimir Arutyunian attempted to assassinate U.S. president George W. Bush and Georgian president Mikheil Saakashvili in Tbilisi using a hand grenade, which failed to detonate."
2005-05-13,"Uzbek Interior Ministry and State Security Service troops fired at protesters in Andijan, killing between 187 and 1,500 people."
2005-05-18,The Elder Scrolls IV: Oblivion publicly debuted at the Electronic Entertainment Expo.
2005-05-21,"The world's tallest roller coaster, Kingda Ka, opened at Six Flags Great Adventure in Jackson, New Jersey, U.S."
2005-05-30,American student Natalee Holloway disappeared while on a high-school graduation trip to Aruba.
2005-06-19,"Only six race cars competed in the United States Grand Prix at the Indianapolis Motor Speedway in Indianapolis, Indiana, after all the Michelin-shod entrants were withdrawn due to safety concerns."
2005-07-03,Same-sex marriage became legal in Spain with the coming into effect of a law passed by the Cortes Generales.
2005-07-04,"The impactor of the NASA space probe Deep Impact collided with the comet Tempel 1, excavating interior material to study its composition."
2005-07-28,The Provisional Irish Republican Army announced the formal end of its armed campaign to overthrow British rule in Northern Ireland and create a united Ireland.
2005-08-03,Mauritanian president Maaouya Ould Sid'Ahmed Taya was overthrown in a military coup while he attended the funeral of King Fahd of Saudi Arabia.
2005-08-14,"Helios Airways Flight 522 crashed into a mountain north of Marathon, Greece, killing all 121 people on board."
2005-08-15,"The Helsinki Agreement between the Free Aceh Movement and the Government of Indonesia was signed, ending more than 28 years of fighting."
2005-08-19,"Thunderstorms in southern Ontario, Canada, spawned at least three tornadoes that caused over C$500 million in damage."
2005-09-13,"A software bug caused a simulated pandemic in the online video game World of Warcraft, serving as a model for epidemiologists to understand how human interaction influences disease outbreaks."
2005-09-30,"The Danish newspaper Jyllands-Posten published controversial editorial cartoons depicting Muhammad, sparking protests across the Muslim world by many who viewed them as Islamophobic and blasphemous."
2005-10-02,Typhoon Longwang made landfall in China as the deadliest tropical cyclone in that year to impact the country.
2005-10-15,"A march by members of the National Socialist Movement, a neo-Nazi group, in Toledo, Ohio, U.S., sparked a riot among protestors."
2005-10-19,Hurricane Wilma became the most intense Atlantic hurricane on record with a minimum atmospheric pressure of 882 mbar (26.05 inHg).
2005-11-19,Iraq War: A group of United States Marines allegedly massacred twenty-four people in the town of Haditha.
2005-11-30,"John Sentamu was enthroned as Archbishop of York, becoming the first black archbishop in the Church of England."
2005-12-06,"An Iranian Lockheed C-130 transport aircraft crashed into a ten-floor apartment building in a residential area of Tehran, killing over 100 people."
2005-12-07,"Spanish authorities captured Croatian Army general Ante Gotovina, who was wanted for war crimes committed during the Croatian War of Independence; he was eventually cleared of all charges."
2005-12-11,"Demonstrations in Cronulla, a suburb of Sydney, against recent violence towards locals turned into a series of race riots."
2005-12-15,"The F-22 Raptor, an early successful stealth fighter, entered into service despite a protracted and costly development period."
2005-12-30,"Tropical Storm Zeta was declared a tropical depression, making it the record-breaking 28th tropical cyclone of the 2005 Atlantic hurricane season, the most active in recorded history until 2020."
2006-01-19,"In the deadliest aviation accident in Slovak history, an Antonov An-24 operated by the Slovak Air Force crashed in northern Hungary, killing 42 of the 43 people on board."
2006-01-25,"Three independent observing campaigns announced the discovery of OGLE-2005-BLG-390Lb., a super-Earth extrasolar planet 21,500 ±3,300 light years away from Earth near the center of the Milky Way."
2006-01-25,Mexican professional wrestler Juana Barraza was arrested in conjunction with the serial killing of at least ten elderly women.
2006-01-29,India's Irfan Pathan became the only bowler to take a Test cricket hat-trick in the opening over of a match.
2006-02-19,"A methane explosion in a coal mine in Nueva Rosita, Mexico, trapped and killed 65 miners."
2006-02-22,"Seven men staged the largest cash robbery in Britain at a Securitas depot in Tonbridge, Kent, United Kingdom."
2006-03-10,NASA's Mars Reconnaissance Orbiter (artist's impression pictured) reached and entered orbit around Mars.
2006-03-12,U.S. Army soldiers gang-raped a 14-year-old Iraqi girl and murdered her along with her family members.
2006-03-24,"Hannah Montana, starring Miley Cyrus as an actress whose alter ego is the titular character, premiered."
2006-04-29,"Cyclone Mala made landfall near Thandwe, Myanmar, causing 37 deaths."
2006-05-18,The Parliament of Nepal unanimously voted to strip King Gyanendra of many of his powers.
2006-05-24,"An Inconvenient Truth, a documentary film that has been credited for raising international public awareness of climate change and re-energizing the environmental movement, was released."
2006-05-27,"An earthquake registering 6.4 Mw struck near the city of Yogyakarta on the southern side of the Indonesian island of Java, killing more than 5,700 people."
2006-06-15,"US president George W. Bush designated 140,000 square miles (360,000 km2) around the Northwestern Hawaiian Islands as the Papahānaumokuākea Marine National Monument, now one of the world's largest protected areas."
2006-07-05,The United Nations Security Council held an emergency meeting hours after North Korea reportedly tested at least seven ballistic missiles.
2006-07-10,"Typhoon Ewiniar made landfall in South Korea, causing damages across the country amounting to 2.06 trillion won (US$1.4 billion)."
2006-07-12,"Hezbollah forces crossed the Israel–Lebanon border and attacked Israeli military positions while firing rockets and mortars at Israeli towns, sparking a five-week war."
2006-07-30,"Lebanon War: The Israeli Air Force attacked a three-story building near the Lebanese village of Qana, killing at least 28 civilians, including 16 children."
2006-08-04,Sri Lankan Civil War: Seventeen employees of the French nongovernmental organization ACF International were massacred in Muttur.
2006-08-09,British police arrested 24 people for conspiring to detonate liquid explosives carried on board airliners travelling from the UK to the US and Canada.
2006-08-23,"Natascha Kampusch, who had been abducted at the age of ten in Vienna, escaped from her captor's house in Strasshof an der Nordbahn after more than eight years in captivity."
2006-08-24,The International Astronomical Union passed a resolution redefining the term planet and classifying Pluto as a dwarf planet.
2006-08-27,"Comair Flight 5191 crashed while inadvertently attempting to take off from the wrong runway at Blue Grass Airport in Lexington, Kentucky, killing 49 of the 50 people on board, and causing the Federal Aviation Administration to modify air traffic control rules."
2006-09-28,"Typhoon Xangsane passed Manila on its way to causing more than 300 deaths, mostly in the Phillippines and Vietnam."
2006-09-29,"Gol Transportes Aéreos Flight 1907 collided in mid-air with an Embraer Legacy business jet near Peixoto de Azevedo, Brazil, killing 154 people and triggering a national aviation crisis."
2006-10-02,"A gunman killed five Amish girls before committing suicide in a one-room schoolhouse in Nickel Mines, Pennsylvania."
2006-10-07,"Anna Politkovskaya (pictured), a Russian journalist and human-rights activist, was assassinated in the elevator of her apartment block in Moscow."
2006-10-15,An earthquake registering 6.7 Mw occurred off the northwestern coast of the island of Hawaii.
2006-11-08,"Israeli artillery shelled a row of houses in the Gaza Strip town of Beit Hanoun, killing at least 19 Palestinians and wounding more than 40 others."
2006-11-10,Prominent Sri Lankan Tamil politician and human rights lawyer Nadarajah Raviraj was assassinated in Colombo.
2006-11-12,"Although the Georgian government declared it illegal, South Ossetia held a referendum on independence, with more than 99 percent of voters in favour of preserving the region's status as a de facto independent state."
2006-12-04,"Six black teenagers assaulted a white student in Jena, Louisiana; the subsequent court cases became a cause célèbre for perceived racial injustice in the United States."
2006-12-11,"Criticized worldwide as a ""meeting of Holocaust deniers"", the International Conference to Review the Global Vision of the Holocaust opened in Tehran."
2006-12-11,The first action in the Mexican drug war began as President Felipe Calderón ordered Mexican soldiers and Federal Police units into the state of Michoacán.
2006-12-26,"Two earthquakes off the southwest coast of Taiwan damaged submarine communications cables, disrupting Internet services in Asia and affecting financial transactions."
2006-12-28,Somali Civil War: Troops of Somalia's Transitional Federal Government and their Ethiopian allies captured Mogadishu unopposed.
2006-12-30,"Saddam Hussein, the former President of Iraq, was executed after being found guilty of crimes against humanity by the Iraqi Special Tribunal."
2006-12-30,"The Indonesian ferry MV Senopati Nusantara sank in the Java Sea during a storm, killing at least 400 people."
2006-12-30,"Basque nationalist group ETA detonated a van bomb at Madrid–Barajas Airport in Spain, ending a nine-month ceasefire."
2007-01-01,"Adam Air Flight 574 crashed into the sea off Polewali, Indonesia, killing all 102 people on board, when the pilots inadvertently disconnected the autopilot."
2007-01-04,"Nancy Pelosi became Speaker of the United States House of Representatives, becoming the highest-ranking woman in the history of the U.S. government."
2007-01-05,"The Taiwan High Speed Rail opened, connecting Taipei and Kaohsiung."
2007-01-10,"A general strike began in Guinea as an attempt to force President Lansana Conté to resign, eventually resulting in the appointment of two new prime ministers."
2007-01-12,"Comet McNaught (pictured) reached perihelion, becoming the brightest comet in over 40 years, with an apparent magnitude of −5.5."
2007-01-19,"A four-man team, using only skis and kites, completed a 1,093-mile (1,759 km) trek to reach the Southern Pole of Inaccessibility, the first people to get there since 1967, and the first to do so on foot."
2007-01-19,Turkish-Armenian journalist and human-rights activist Hrant Dink was assassinated by a Turkish nationalist in Istanbul.
2007-02-02,"Following a Derby di Sicilia match in Catania, football violence caused the death of police officer Filippo Raciti, leading to new safety regulations at Italian sporting events."
2007-02-14,"The first of several bombings in Zahedan, Iran, killed 18 members of the Revolutionary Guards."
